purchase_no	purchaser	residence	social_status	aliquot_or_lot	section	township	range	meridian	county	acres	price_per_acre	total_price	type_of_sale	date_purchased	volume	page
0006309	HURD DENNIS S	UNKNOWN		NE	25	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0000587	BLAKE LEVI	UNKNOWN		E2NE	26	38N	14E	3	COOK	80.00	1.35	108.00	FD	06/27/1835	687	264
0016204	HUBBARD ELIJAH K	UNKNOWN		SE	26	38N	14E	3	COOK	160.00	1.25	200.00	FD	08/25/1835	687	264
0026411	HUBBARD ELIJAH K	UNKNOWN		W2NE	26	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	264
0002394	PEARSONS HIRAM	UNKNOWN		E2NW	26	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/17/1835	687	264
0020678	PEARSONS HIRAM	UNKNOWN		SW	26	38N	14E	3	COOK	160.00	1.25	200.00	FD	12/17/1835	687	264
0027777	PEARSONS HIRAM	UNKNOWN		W2NW	26	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/17/1835	687	264
0001712	BOND HEMAN	UNKNOWN		E2NW	27	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/14/1835	687	264
0015887	BOND HEMAN	UNKNOWN		SE	27	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	264
0000941	HADDOCK EDWARD H	UNKNOWN		E2NE	27	38N	14E	3	COOK	80.00	1.30	104.00	FD	06/27/1835	687	264
0020429	HUBBARD ELIJAH K	UNKNOWN		SW	27	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	264
0027778	PEARSONS HIRAM	UNKNOWN		W2NW	27	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/23/1835	687	264
0026869	UPDIKE PETER L	UNKNOWN		W2NE	27	38N	14E	3	COOK	80.00	1.45	116.00	FD	06/27/1835	687	264
0027118	BREESE JOSIAH S	UNKNOWN		W2NW	28	38N	14E	3	COOK	80.00	1.55	124.00	FD	06/27/1835	687	264
0029293	BREESE JOSIAH S	UNKNOWN		W2SW	28	38N	14E	3	COOK	80.00	2.05	164.00	FD	06/27/1835	687	264
0002020	GOODRICH GRANT	UNKNOWN		E2NW	28	38N	14E	3	COOK	80.00	2.00	160.00	FD	06/27/1835	687	264
0004302	GOODRICH GRANT	UNKNOWN		E2SW	28	38N	14E	3	COOK	80.00	1.60	128.00	FD	06/27/1835	687	264
0006211	GOODRICH GRANT	UNKNOWN		NE	28	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	264
0016140	GOODRICH GRANT	UNKNOWN		SE	28	38N	14E	3	COOK	160.00	1.80	288.00	FD	06/27/1835	687	264
0025534	HATCH JUNIUS H	UNKNOWN		W2	29	38N	14E	3	COOK	320.00	1.25	400.00	FD	12/18/1835	687	264
0000160	SHEPARD ALBERT	UNKNOWN		E2	29	38N	14E	3	COOK	320.00	1.25	400.00	FD	12/18/1835	687	264
0016705	RUSSELL JOHN B F	UNKNOWN		SEC	30	38N	14E	3	COOK	640.33	1.25	800.41	FD	02/09/1836	687	265
0000138	BROWN WM	UNKNOWN		E2	31	38N	14E	3	COOK	320.00	1.25	400.00	FD	03/07/1836	687	265
0010659	HUNTER MARIA	UNKNOWN	F	NW	31	38N	14E	3	COOK	160.24	1.25	200.30	FD	03/15/1836	687	265
0004475	KENZIE ROBERT A	UNKNOWN		E2SW	31	38N	14E	3	COOK	80.04	1.25	100.05	FD	03/02/1836	687	265
0029978	PECK EBENEZER	UNKNOWN		W2SW	31	38N	14E	3	COOK	80.04	1.25	100.05	FD	06/27/1835	687	265
0020097	BROWN WM	UNKNOWN		SW	32	38N	14E	3	COOK	160.00	1.25	200.00	FD	03/07/1836	687	265
0003087	EGAN WILLIAM B	UNKNOWN		E2SE	32	38N	14E	3	COOK	80.00	1.25	100.00	FD	01/01/1836	687	265
0001104	LANE ABNER	UNKNOWN		E2NE	32	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	265
0028789	MERRILL GEO W	UNKNOWN		W2SE	32	38N	14E	3	COOK	80.00	1.25	100.00	FD	03/07/1836	687	265
0026774	SHEPHERD ALBERT	UNKNOWN		W2NE	32	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	265
0011162	WILCOX DE LA FAYETTE	UNKNOWN		NW	32	38N	14E	3	COOK	160.00	1.25	200.00	FD	03/07/1836	687	265
0026046	BRITAURCLAY HIRAM Z	UNKNOWN		W2NE	33	38N	14E	3	COOK	40.00	1.25	50.00	FD	12/19/1835	687	265
0029565	GARRETT A ET CO	UNKNOWN		W2SW	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/01/1835	687	265
0002043	HALL GEORGE	UNKNOWN		E2NW	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	265
0027446	HALL GEORGE	UNKNOWN		W2NW	33	38N	14E	3	COOK	80.00	2.70	216.00	FD	06/27/1835	687	265
0003335	LATTERLEE RICHARD L	UNKNOWN		E2SE	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/23/1835	687	265
0004596	MERRILL GEORGE W	UNKNOWN		E2SW	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	265
0026672	PHILLIPS H	UNKNOWN	I	W2NE	33	38N	14E	3	COOK	40.00	1.25	50.00	FD	12/19/1835	687	265
0028952	SEYMOUR HENRY	UNKNOWN		W2SE	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	265
0001542	WILCOX DE LA FAYETTE	UNKNOWN		E2NE	33	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/19/1835	687	265
0005956	BOND WILLIAM	UNKNOWN		NE	34	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	266
0002045	HAMMOND WM P	UNKNOWN	I	E2NW	34	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/15/1835	687	266
0027653	MCCLURE CHARLES	UNKNOWN		W2NW	34	38N	14E	3	COOK	40.00	1.25	50.00	FD	12/19/1835	687	266
0003496	PALMER ISAAC K	UNKNOWN		E2SE	34	38N	14E	3	COOK	80.00	1.25	100.00	FD	01/28/1836	687	266
0028003	UPDIKE PETER S	UNKNOWN		W2NW	34	38N	14E	3	COOK	40.00	1.25	50.00	FD	12/19/1835	687	266
0030276	WILCOX DE LA FAYETTE	UNKNOWN		W2SW	34	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/20/1835	687	266
0004970	WILSON JOHN L	UNKNOWN		E2SW	34	38N	14E	3	COOK	80.00	1.25	100.00	FD	01/26/1836	687	266
0029130	WILSON JOHN L	UNKNOWN		W2SE	34	38N	14E	3	COOK	80.00	1.25	100.00	FD	01/26/1836	687	266
0006160	FAULKNER JOSEPH M	UNKNOWN		NE	35	38N	14E	3	COOK	160.00	1.25	200.00	FD	12/23/1835	687	266
0010525	FAULKNER JOSEPH M	UNKNOWN		NW	35	38N	14E	3	COOK	160.00	1.25	200.00	FD	12/23/1835	687	266
0004548	MARSH SYLVESTER	UNKNOWN		E2SW	35	38N	14E	3	COOK	80.00	1.25	100.00	FD	02/05/1836	687	266
0028750	MARSH SYLVESTER	UNKNOWN		W2SE	35	38N	14E	3	COOK	80.00	1.25	100.00	FD	02/05/1836	687	266
0003525	PEYTON LUCIEN	UNKNOWN		E2SE	35	38N	14E	3	COOK	80.00	1.25	100.00	FD	01/08/1836	687	266
0030294	WILSON JOHN L	UNKNOWN		W2SW	35	38N	14E	3	COOK	80.00	1.25	100.00	FD	03/10/1836	687	266
0010284	BLANCHARD FRANCIS G	UNKNOWN		NW	36	38N	14E	3	COOK	160.00	1.25	200.00	FD	12/15/1835	687	266
0020274	EGAN WILLIAM B	UNKNOWN		SW	36	38N	14E	3	COOK	160.00	1.25	200.00	FD	12/24/1835	687	266
0016205	HUBBARD ELIJAH K	UNKNOWN		SE	36	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	266
0006588	ROBINSON RICHARD P	UNKNOWN		NE	36	38N	14E	3	COOK	160.00	1.25	200.00	FD	08/25/1835	687	266
0011244	DAVIS GEORGE	UNKNOWN		NWFR	19	38N	15E	3	COOK	5.66	1.25	7.07	FD	01/08/1836	687	299
0020974	EVERTS LESTER H	UNKNOWN		SWFR	19	38N	15E	3	COOK	69.15	1.25	86.43	FD	06/27/1835	687	299
